date;old_sales;sales;price;queries;visits_cost;visits_count;banner_quant;banner_cost;banner_cost_new;context_quant;context_cost;context_cost_new;olv_quant;olv_cost;olv_cost_new;social_quant;social_cost;social_cost_new;tvr_park;tvr_theatre;tvr_wave;tv_cost;tvr_ambro;tvr_acc;tvr_brom;tvr_doc;tvr_kodel;tvr_lazol
31.12.2018; 102 530 ;95 353;143;645 354;1 508 543;2 193;0;0;0;9 221;44 533;32 650;0;0;0;0;0;0;0;0;0;0;205;397;253;121;249;331
07.01.2019; 133 632 ;124 278;143;615 454;1 508 543;2 193;0;0;0;9 221;44 533;32 650;0;0;0;0;0;0;281;0;0;12 490 514;270;433;202;204;248;319
14.01.2019; 135 094 ;125 637;143;573 170;2 724 790;3 960;0;0;0;9 221;44 533;32 650;773;224 607;164 674;1 183;91 153;66 831;222;0;0;9 835 858;228;235;136;206;270;284
21.01.2019; 160 531 ;149 294;143;661 720;2 646 358;3 846;0;0;0;9 221;44 533;32 650;773;224 607;164 674;1 183;91 153;66 831;198;0;0;8 800 458;277;335;75;168;340;305
28.01.2019; 192 127 ;178 678;143;764 809;2 456 814;3 571;0;0;0;9 221;44 533;32 650;442;128 347;94 100;676;52 088;38 189;242;0;0;10 754 487;0;207;0;353;57;212
04.02.2019; 196 949 ;183 163;143;800 891;2 472 500;3 594;0;0;0;0;0;0;0;0;0;0;0;0;254;0;0;11 266 415;308;208;235;1;0;245
11.02.2019; 160 480 ;149 246;143;727 207;2 552 686;3 710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;213;483;141;195;333;218
18.02.2019; 168 197 ;156 423;143;651 425;2 475 424;3 598;0;0;0;11 022;153 794;112 757;3 838;453 183;332 259;0;0;0;347;0;0;15 392 476;186;317;131;204;220;201
25.02.2019; 172 999 ;160 889;143;634 553;2 435 554;3 540;0;0;0;25 325;387 537;284 130;6 102;669 887;491 139;215;11 573;8 485;256;0;0;11 388 070;230;348;139;185;180;219
04.03.2019; 140 831 ;130 973;143;559 235;1 990 350;2 893;0;0;0;10 607;138 288;101 388;6 058;728 016;533 757;973;57 633;42 255;178;0;0;7 890 709;0;477;0;219;219;250
11.03.2019; 149 566 ;139 096;143;564 431;2 674 634;3 888;0;0;0;8 572;98 382;72 131;4 130;519 408;380 812;1 340;81 553;59 792;161;0;0;7 147 014;241;447;150;177;186;233
18.03.2019; 137 010 ;127 419;143;528 737;2 435 451;3 540;0;0;0;11 718;166 563;122 118;4 560;561 250;411 490;1 350;82 144;60 225;143;0;0;6 345 600;221;239;138;0;0;202
25.03.2019; 130 133 ;121 024;143;497 233;2 589 873;3 764;0;0;0;17 619;224 687;164 733;4 725;544 118;398 929;1 259;76 232;55 891;174;0;0;7 730 426;199;296;128;185;0;216
01.04.2019; 112 431 ;104 561;149;461 082;2 392 967;3 478;0;0;0;4 592;44 396;32 550;0;0;0;0;0;0;0;0;0;0;0;0;145;203;0;0
08.04.2019; 103 546 ;96 298;150;442 845;2 445 427;3 554;0;0;0;4 115;39 715;29 118;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;0
15.04.2019; 112 431 ;104 561;150;461 082;2 416 497;3 512;0;0;0;4 177;40 632;29 790;0;0;0;0;0;0;0;0;0;0;0;0;0;208;0;0
22.04.2019; 103 110 ;95 892;150;431 011;2 453 786;3 567;0;0;0;4 999;57 605;42 234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.04.2019; 95 489 ;88 805;150;462 560;864 369;1 256;0;0;0;3 448;35 315;25 892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.05.2019; 74 486 ;69 272;150;365 846;482;1;0;0;0;3 706;37 355;27 387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.05.2019; 75 702 ;70 403;150;338 445;2 074 251;3 015;0;0;0;3 376;37 481;27 479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.05.2019; 76 259 ;70 921;153;332 266;2 300 741;3 344;0;0;0;4 885;36 731;26 930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.05.2019; 76 145 ;70 815;126;325 132;2 533 766;3 683;0;0;0;4 675;26 755;19 616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2019; 76 300 ;70 959;150;315 004;2 426 782;3 527;0;0;0;4 670;29 722;21 791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2019; 67 833 ;63 085;150;300 623;1 900 050;2 762;0;0;0;4 587;29 034;21 287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.06.2019; 63 204 ;58 780;150;274 226;2 327 779;3 383;0;0;0;4 869;28 314;20 759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.06.2019; 59 973 ;55 775;150;268 611;2 051 478;2 982;0;0;0;4 850;29 413;21 565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.07.2019; 56 634 ;52 670;150;259 860;1 579 442;2 296;0;0;0;6 591;71 251;52 239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.07.2019; 59 632 ;55 458;150;253 713;1 226 291;1 782;0;0;0;7 133;83 028;60 874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.07.2019; 56 175 ;52 243;150;251 700;1 025 946;1 491;0;0;0;3 225;25 954;19 029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.07.2019; 56 505 ;52 550;150;256 468;987 693;1 436;0;0;0;2 171;11 431;8 381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.07.2019; 58 828 ;54 710;150;262 945;1 409 506;2 049;0;0;0;4 533;33 881;24 840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.08.2019; 64 765 ;60 231;150;278 027;1 845 354;2 682;0;0;0;7 203;60 952;44 688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.08.2019; 71 634 ;66 620;150;296 249;2 326 059;3 381;0;0;0;10 185;131 574;96 465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2019; 71 680 ;66 662;150;312 039;42 037;61;0;0;0;10 063;130 332;95 555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.08.2019; 77 861 ;72 411;150;337 067;2 239 646;3 255;0;0;0;9 792;134 206;98 395;0;0;0;0;0;0;0;0;0;0;0;0;0;174;0;0
02.09.2019; 83 017 ;77 206;150;378 324;2 924 275;4 250;0;0;0;12 038;191 952;140 733;578;128 300;94 065;0;0;0;0;0;0;0;0;304;0;158;0;190
09.09.2019; 126 281 ;117 441;153;513 397;3 111 686;4 523;0;0;0;12 719;191 799;140 621;578;128 300;94 065;0;0;0;0;0;0;0;0;289;0;128;0;198
16.09.2019; 154 788 ;143 953;155;633 235;2 704 115;3 930;0;0;0;13 840;191 712;140 557;1 314;319 100;233 954;0;0;0;0;0;0;0;0;243;0;174;0;207
23.09.2019; 157 165 ;146 163;153;664 985;2 818 323;4 096;0;0;0;14 157;189 332;138 812;5 569;875 406;641 819;0;0;0;0;0;0;0;0;188;206;419;0;179
30.09.2019; 131 052 ;121 878;155;655 379;2 984 544;4 338;0;0;0;15 535;239 800;175 814;2 555;473 219;346 949;6;215;158;0;0;0;0;0;0;154;289;158;0
07.10.2019; 206 962 ;192 475;155;657 245;3 113 613;4 526;0;0;0;20 276;257 922;189 100;2 265;525 628;385 373;1 575;65 333;47 900;0;276;0;12 256 165;0;368;124;188;360;230
14.10.2019; 193 076 ;179 561;155;623 725;3 189 843;4 636;0;0;0;23 690;249 494;182 921;2 541;616 177;451 761;2 159;65 333;47 900;0;260;0;11 539 678;0;312;61;275;270;228
21.10.2019; 181 442 ;168 741;155;615 887;3 254 240;4 730;0;0;0;23 196;238 395;174 783;3 377;794 113;582 218;5 708;246 977;181 075;0;229;0;10 188 683;0;238;132;179;219;210
28.10.2019; 169 186 ;157 343;154;595 664;2 876 115;4 180;0;0;0;20 041;241 621;177 149;4 291;1 014 594;743 867;6 702;340 818;249 876;0;250;0;11 082 221;0;318;130;158;211;205
04.11.2019; 159 529 ;148 362;155;594 124;2 494 413;3 626;0;0;0;17 743;195 881;143 614;2 758;718 748;526 962;1 961;99 504;72 953;0;230;0;10 206 601;0;254;127;174;0;196
11.11.2019; 136 511 ;126 955;155;583 452;3 212 410;4 669;196;44 976;32 975;17 637;232 967;170 803;3 011;723 066;530 128;3 069;147 607;108 220;0;0;0;0;0;230;138;0;281;194
18.11.2019; 174 016 ;161 835;155;620 707;3 347 808;4 866;787;181 026;132 722;20 692;266 856;195 650;3 480;794 539;582 530;3 493;163 989;120 231;0;247;0;10 966 053;0;0;108;0;227;512
25.11.2019; 197 512 ;183 686;155;666 088;3 193 421;4 642;1 238;284 831;208 829;13 568;121 823;89 317;3 024;710 967;521 258;3 553;169 149;124 015;0;285;0;12 653 629;0;214;126;0;225;537
02.12.2019; 227 724 ;211 783;155;690 828;3 511 002;5 103;964;202 352;148 358;20 498;186 139;136 471;3 717;550 324;403 479;4 112;210 133;154 063;0;278;0;12 357 977;0;153;130;0;239;451
09.12.2019; 228 112 ;212 144;155;699 714;3 334 048;4 846;1 362;286 118;209 772;20 026;189 912;139 237;5 054;881 543;646 318;5 007;295 489;216 643;0;268;0;11 882 112;0;144;161;0;0;445
16.12.2019; 202 585 ;188 404;154;711 650;3 471 373;5 046;0;0;0;18 461;187 664;137 589;5 654;997 779;731 539;6 067;394 972;289 580;0;0;0;0;0;159;0;0;0;508
23.12.2019; 182 771 ;169 977;155;683 685;2 761 357;4 014;0;0;0;19 078;190 950;139 999;4 823;854 785;626 700;4 500;302 920;222 091;0;0;0;0;0;291;0;0;0;544
30.12.2019; 137 151 ;127 550;155;698 555;24 402;24;0;0;0;20 676;156 763;114 933;2 228;302 696;221 927;1 848;53 422;39 167;0;0;0;0;0;291;147;296;217;291
06.01.2020; 131 363 ;122 168;155;690 820;1 912 900;1 850;0;0;0;17 104;157 141;123 120;1 564;315 275;247 019;1 656;54 843;42 970;0;0;0;0;0;314;138;298;236;611
